category,years_on_force,number_since_same_type,number_since_total,number_same_type_after
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,2,0,0,1
Operation/Personnel Violations,1,0,1,1
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,2,0,2,0
Traffic,2,2,3,1
Operation/Personnel Violations,2,1,5,0
Traffic,2,0,3,1
Domestic,2,0,1,0
Domestic,2,0,2,0
Operation/Personnel Violations,1,1,2,0
Use Of Force,2,0,0,0
Traffic,2,0,1,0
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,1,1,1,1
Use Of Force,1,0,2,0
Use Of Force,2,0,6,0
Operation/Personnel Violations,1,0,4,1
Operation/Personnel Violations,2,0,4,1
Operation/Personnel Violations,0,0,0,1
Illegal Search,2,0,3,1
Illegal Search,2,0,0,1
Use Of Force,1,2,3,1
Operation/Personnel Violations,0,0,0,4
Use Of Force,2,0,4,1
Use Of Force,2,2,8,2
Illegal Search,1,0,2,4
Verbal Abuse,1,0,1,0
Verbal Abuse,0,0,0,0
Use Of Force,2,0,1,1
Operation/Personnel Violations,2,0,0,1
Operation/Personnel Violations,2,0,0,1
Operation/Personnel Violations,2,2,6,0
Operation/Personnel Violations,2,0,1,0
Operation/Personnel Violations,1,0,2,1
Traffic,2,0,3,0
Traffic,1,0,0,0
Use Of Force,1,0,0,0
Use Of Force,1,0,5,0
Traffic,2,0,4,0
Traffic,2,0,5,0
Traffic,1,0,2,0
Use Of Force,2,0,3,6
Use Of Force,2,0,0,0
Use Of Force,2,0,11,0
Operation/Personnel Violations,0,0,0,0
Illegal Search,2,1,5,2
Operation/Personnel Violations,1,0,0,1
Lockup Procedures,2,0,6,1
Operation/Personnel Violations,2,0,1,7
Illegal Search,1,0,0,2
Verbal Abuse,1,0,1,0
Use Of Force,2,1,5,1
False Arrest,2,0,5,4
Operation/Personnel Violations,2,0,1,1
Operation/Personnel Violations,1,1,2,1
Operation/Personnel Violations,2,1,3,1
Operation/Personnel Violations,2,0,0,0
Operation/Personnel Violations,1,0,0,1
Operation/Personnel Violations,2,0,5,1
Operation/Personnel Violations,2,0,6,1
Domestic,1,0,3,0
Verbal Abuse,2,0,3,0
Operation/Personnel Violations,2,0,3,1
Operation/Personnel Violations,0,0,0,1
Domestic,1,0,1,0
Domestic,1,0,1,2
Traffic,2,0,0,0
Use Of Force,2,0,0,1
Use Of Force,2,1,3,2
Lockup Procedures,2,0,1,0
Use Of Force,1,0,1,2
Operation/Personnel Violations,1,1,1,0
Use Of Force,1,0,1,1
Domestic,2,0,2,0
Use Of Force,1,0,3,2
